Titre,Note,Avis,Auteur,Entreprise
"Une formation efficace, agréable et rapide",5,"Cette formation hybride m’a permis de monter en compétence rapidement. Les modules sont agréables et claires, la plateforme est facile d’utilisation, l’accompagnement et le support sont personnalisés et continus ! Je recommande fortement DataScientest à ceux qui veulent se former efficacement au métiers des Data Science.",Nathan Loth,www.datascientest.com
Avis sur DataScientest,5,"Je suis très satisfait de ma formation. Le format hybride est adapté et nous incite à aller au bout des cursus. Les coachs sont à l'écoute et les exercices sont de qualité, ce qui permet de monter rapidement et efficacement en compétences. Charles N.",Charles NAHUM,www.datascientest.com
excellente entrée en matière,5,"Contenu de formation de qualité, couverture large des sujets data science, accompagnement personnalisé, réactivité des équipes.",Michael,www.datascientest.com
Formation de très bonne qualité,5,Super formation dans l'ensemble.Attention aux différentes fautes de phrases et orthographes qui peuvent déroutées par moment.Je pense qu'il faudrait revoir le découpage des chapitres de certains modules. Afin de faciliter l'apprentissage des chapitres courts sont plus efficaces surtout quand certaines notions reliées aux mathématiques sont abordées.Le fait d'avoir des fiches sur les chapitres est d'une grande aide. En revanche il faudrait revoir celles sur les différents modèles afin de les rendre plus complètes d'un point de vue code (Des cheatsheets existent déjà certes mais celles Datascientest sont plus axées sur les différentes notions abordées lors des modules ce qui est un plus).L'accompagnement est bien encadré et il y a toujours Daniel pour répondre à la moindre de nos questions.,Stanley,www.datascientest.com
Formation riche et de qualité,5,"Formation riche et de qualitéJ'ai suivi la formation DataScientest en 2019, au sein de mon entreprise.Cette formation s'étale sur 9 mois et comprend plusieurs parties:- des cours avec exercices de programmation intégrés au fil du chapitre: on rentre très vite dans le vif du sujet, les cours sont clairs, intuitifs et très bien expliqués; les exercices sont adaptés au contenu et les datasets qui sont utilisés sont très bien choisis et permettent de parfaitement saisir les nuances et les notions à intégrer;- du présentiel avec une session par mois: il s'agit de revenir sur les notions essentielles acquises durant le mois, de répondre aux questions, de faire des sessions ""masterclass"" en direct, et de préparer la suite;- un projet en rapport avec une problématique métier: grâce aux compétences acquises durant les cours, nous sommes rapidement capables de prendre en main un projet machine Learning de bout en bout, pour répondre à une problématique métier. Le projet n'est donc pas ""hors-sol"", mais au contraire totalement en prise avec des sujets de l'entreprise.La montée en compétence est très rapide, le support de data scientists est toujours disponible pour répondre à toutes nos questions (programmation, mathématiques, approche à suivre etc.), et l'équipe fait tout pour que nous arrivions au bout des objectifs à atteindre. En somme, merci à toute l'équipe pour cette formation de grande qualité, qui nous a permis de monter en compétence si rapidement sur de nombreux sujets!",DavidM,www.datascientest.com
Bonne formation,4,"Bonne formation, les formateurs sont à l'écoute des participants avec une ambiance sympathique.",Lina,www.datascientest.com
Go datascience,5,"Une formation en datascience éclectique, complète et diversifiée.L'accès à la plateforme est aisé et l'interface très intuitive.Le développement par étapes des connaissances rend la formation d'un niveau accessible, puis évolue sur des notions plus complexes.",datascientist,www.datascientest.com
Très satisfait,5,Ça a été un plaisir et un privilège pouvoir se former à la data science grâce à l'encadrement de DataScientest.On est suivi par une équipe très forte en compétences techniques et pédagogiques.,Marco,www.datascientest.com
Faites confiance sans hésitation,5,Une formation sans précédent simple à suivre et l’évaluation efficace. L’essentiel est là et on peut bien partir continuer l’aventure data science dans le milieu professionnel.,Amir,www.datascientest.com
A Faire ! - Excellente formation aux métiers de l'IA / Data Science / Data,5,"Formation à la Data Science très challengeante et à l'état de l'art. Pendant plusieurs mois, nous avons travaillé en immersion dans l'agilité avec des coachs expérimentés de qualité.Cette formation est à moitié théorique et à moitié pratique, nous avons été formés à R, Python, nous avons vu des librairies du moment. Elle s'achève avec un projet concret à choisir, quelques belles surprises en milieu de parcours à prévoir !Grâce à DataSciencetest nous avons pu être mis en contact avec des professionnels d'entreprises diverses ayant une appétance pour les sujets Data / Data Science / IA et tisser notre réseau.",Franck,www.datascientest.com
Enseignement de qualité avec une…,5,Enseignement de qualité avec une pédagogie innovante et adaptée.,Faiga,www.datascientest.com
Formation complète et de qualité,5,Formation complète et de qualité. Personnel et suivi individuel excellent.,Alexandre,www.datascientest.com
La clé de réussite de ma reconversion professionnelle,5,"Formations Data Science et Data Engineering adaptées à tout type d'utilisateur, avec montée en difficulté progressive, du débutant jusqu'au niveau avancé, de la découverte de R ou Python, jusqu'aux GAN, Deep Learning, Reinforcement Learning, théorie de graphes, etc.Grande pertinence professionnelle des sujets et problématiques abordées en cours. Supports de grande qualité. Des formateurs disponibles et compétents, qui connaissent bien leur métier.Réalisé dans le cadre d'un projet de reconversion professionnelle, le Bootcamp de Datascientest en Data Science m'a permis de trouver un emploi de Data Scientist assez rapidement. La formation a une bonne réputation chez les employeurs, ma boîte actuelle a embauché plusieurs de mes collègues de promotion et prévoit d'en recruter d'autres.",Eduard,www.datascientest.com
formation très enrichissante,5,"+ : Cette formation est d'une excellente qualité!-  : Daniel, il est souvent sous l'eau.",HE,www.datascientest.com
Une formation de qualité pour ceux qui veulent être opérationnels rapidement,5,"Cette formation m'a permis de me reconvertir dans le domaine de la data qui me passionne, le contenu est de qualité et les intervenants compétents et impliqués. Je recommande fortement!",Caroline,www.datascientest.com
Contenu de formation pédagogique,4,Contenu de formation pédagogiqueBon accompagnement de l'équipe via Slack,T.,www.datascientest.com
